game,ply,side,san,uci,fen_before,depth,nodes,nps,engine_time_ms,wall_time_s,time_gap_ms,score_type,score_val,score_cp,pv,bookns,ttns,singns,evalns,probcutns,sf_best_move,sf_best_cp,sf_actual_cp,sf_cp_lost,sf_match,sf_mate_involved,sf_accuracy,sf_class
1,1,white,e4,e2e4,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,,,,0.928,,,,0,,,,,,,e2e4,30,29,1,True,False,99.5884532447944,Best
1,2,black,e5,e7e5,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,,,,,0.877,,,,0,,,,,,,e7e5,-32,-28,-4,True,False,99.9999,Best
1,3,white,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,,,,,0.881,,,,0,,,,,,,g1f3,26,23,3,True,False,98.76936074890017,Best
1,4,black,Nc6,b8c6,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,,,,,0.457,,,,0,,,,,,,b8c6,-23,-27,4,True,False,98.36259070253243,Best
1,5,white,Bb5,f1b5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,,,,,0.513,,,,0,,,,,,,f1b5,25,26,-1,True,False,99.9999,Best
1,6,black,a6,a7a6,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,,,,,0.83,,,,0,,,,,,,g8f6,-26,-32,6,False,False,97.55548723575733,Excellent
1,7,white,Ba4,b5a4,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,,,,,0.094,,,,0,,,,,,,b5a4,28,28,0,True,False,99.9999,Best
1,8,black,Nf6,g8f6,r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,,,,,0.414,,,,0,,,,,,,g8f6,-39,-40,1,True,False,99.58941114454954,Best
1,9,white,O-O,e1g1,r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,,,,,0.326,,,,0,,,,,,,e1g1,32,31,1,True,False,99.5886228290688,Best
1,10,black,Be7,f8e7,r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,,,,,0.321,,,,0,,,,,,,f6e4,-36,-38,2,False,False,99.18002795655589,Excellent
